JavaScript-разработка|Node.js|Skillbox|16800|2021-06-16|3 мес.|https://skillbox.ru/course/nodejs/
JavaScript-разработка|Продвинутый курс Javascript|GeekBrains|11970||1 мес.|https://gb.ru/courses/142
JavaScript-разработка|Веб-программирование|Skillbox|||8 зан.|https://live.skillbox.ru/playlists/code/veb-programmirovanie/|Видеозанятия в записи
JavaScript-разработка|Программирование на JavaScript с нуля|GeekBrains|||1 зан.|https://gb.ru/courses/2162|Онлайн-вебинары
JavaScript-разработка|Регулярные выражения в JavaScript|LoftSchool|||6 зан.|https://loftschool.com/modules/443-regulyarnye-vyrazheniya-v-javascript|Видеозанятия в записи
JavaScript-разработка|Основы JavaScript|LoftSchool|||14 зан.|https://loftschool.com/modules/100-osnovy-javascript|Видеозанятия в записи
JavaScript-разработка|React I|LoftSchool|||10 зан.|https://loftschool.com/modules/15-react-i|Видеозанятия в записи
Мобильная разработка|Мобильный разработчик PRO|Skillbox|47600|2021-06-16|4 мес.|https://skillbox.ru/course/agima/
Мобильная разработка|Android-разработчик с нуля|Нетология|70740|2021-07-01|10 мес.|https://netology.ru/programs/android-app
Мобильная разработка|Факультет Android-разработки|GeekBrains|144000|2021-06-15|12 мес.|https://gb.ru/geek_university/android
Мобильная разработка|Профессия Android-разработчик|SkillFactory|91200|2021-06-15|16 мес.|https://skillfactory.ru/android
Мобильная разработка|Java/Android-разработчик (с 0 до PRO)|ProductStar|79900||12 мес.|https://productstar.ru/dev-java-full-course
Мобильная разработка|Онлайн-курс разработки мобильных приложений|Hedu (Irs.academy)|47000||5 мес.|https://irs.academy/kurs_application_development
Мобильная разработка|Android-разработчик|LoftSchool|55250|2021-07-12|2.5 мес.|https://loftschool.com/professions/android/
Мобильная разработка|Профессия iOS-разработчик|Skillbox|145440|2021-06-16|14 мес.|https://skillbox.ru/course/profession-ios-developer/
Мобильная разработка|iOS-разработчик  с нуля|Нетология|70740|2021-07-12|10 мес.|https://netology.ru/programs/ios-developer/
Мобильная разработка|Факультет iOS-разработки|GeekBrains|126000|2021-06-15|7 мес.|https://gb.ru/geek_university/ios
Мобильная разработка|iOS-разработчик c нуля|SkillFactory|90000|2021-06-21|12 мес.|https://skillfactory.ru/iosdev
Мобильная разработка|Курс: Android-devepoler|ProductStar|54900||6 мес.|https://productstar.ru/dev-android-course
Мобильная разработка|Разработка под Android: продвинутый уровень|LoftSchool|32500|2021-08-23|1 мес.|https://loftschool.com/course/adv-android/
Мобильная разработка|Профессия Android-разработчик|Skillbox|145440|2021-06-16|20 мес.|https://skillbox.ru/course/profession-android-developer/
Мобильная разработка|Программист Android|GeekBrains|90000|2021-06-15|7 мес.|https://gb.ru/professions/android_developer
Мобильная разработка|Разработка под Android: базовый уровень|LoftSchool|28600|2021-07-12|1 мес.|https://loftschool.com/course/android/
Мобильная разработка|Профессия Разработчик мобильных приложений|Skillbox|145440|2021-06-16|24 мес.|https://skillbox.ru/course/profession-mobdev/
Мобильная разработка|Программист iOS|GeekBrains|90000|2021-06-15|6 мес.|https://gb.ru/professions/ios_developer
Мобильная разработка|Профессия Flutter-разработчик|Skillbox|102960|2021-06-16|14 мес.|https://skillbox.ru/course/profession-cross-platform-mobile-developer/
Мобильная разработка|Основы языка Swift Современные технологии программирования под Apple на Swift 5, xcode 10|GeekBrains|15000|2021-07-01|1 мес.|https://gb.ru/courses/25
Мобильная разработка|Тестирование мобильных приложений|Skillbox|68600|2021-06-16|9 мес.|https://skillbox.ru/course/mobile-testing/
Мобильная разработка|Клиент-серверные iOS-приложения Swift 5.2, Xcode 11|GeekBrains|15000|2021-07-05|1 мес.|https://gb.ru/courses/224
Мобильная разработка|Flutter|Skillbox|32900|2021-06-16|4 мес.|https://skillbox.ru/course/flutter/
Мобильная разработка|Программирование на Kotlin под Android|GeekBrains|15000||1 мес.|https://gb.ru/courses/617
Мобильная разработка|Профессиональная разработка Android-приложений|GeekBrains|15000||1 мес.|https://gb.ru/courses/746
Мобильная разработка|Android-разработка|Skillbox|||5 зан.|https://live.skillbox.ru/playlists/code/android-razrabotka/|Видеозанятия в записи
Мобильная разработка|Разработка мобильных приложений с нуля|Нетология|||6 зан.|https://netology.ru/programs/android-free|Видеозанятия в записи
Мобильная разработка|Как стать iOS-разработчиком?|GeekBrains|||1 зан.|https://gb.ru/courses/2318|Онлайн-вебинары
Мобильная разработка|Java для Android-разработчиков|LoftSchool|||13 зан.|https://loftschool.com/modules/336-java-dlya-android-razrabotchikov|Видеозанятия в записи
Мобильная разработка|Swift для начинающих|GeekBrains|||1 зан.|https://gb.ru/courses/131|Онлайн-вебинары
Мобильная разработка|Андроид-приложение фото дня|GeekBrains|||1 зан.|https://gb.ru/courses/1136|Онлайн-вебинары
Разработка игр|Middle-разработчик игр на Unity|Skillbox|49000|2021-06-16|6 мес.|https://skillbox.ru/course/unity-pro/
Разработка игр|Игровой аналитик|Нетология|54000|2021-06-29|8 мес.|https://netology.ru/programs/game-analytics
Разработка игр|Факультет Разработки игр на Unreal Engine 4|GeekBrains|126000|2021-06-25|12 мес.|https://gb.ru/geek_university/unrealengine4
Разработка игр|Разработчик игр на Unity|SkillFactory|108000|2021-06-22|12 мес.|https://skillfactory.ru/game-dev
Разработка игр|Программирование для Action игр в Unreal Engine и C++ Game Code|XYZ School|48600|2021-08-15|5 мес.|https://www.school-xyz.com/gamecode
Разработка игр|Онлайн-курс создания игр|Hedu (Irs.academy)|46000||3 мес.|https://irs.academy/kurs_sozdania_igr
Разработка игр|Профессия Разработчик игр на Unity с нуля до Middle|Skillbox|167040|2021-06-16|20 мес.|https://skillbox.ru/course/profession-unity-middle/
Разработка игр|Как начать зарабатывать на своей игре|Нетология|8800||2 мес.|https://netology.ru/programs/game_management
Разработка игр|Разработчик игр на Unity|GeekBrains|67500|2021-06-15|6 мес.|https://gb.ru/professions/game_developer
Разработка игр|Профессия Разработчик AR&VR с нуля до PRO|Skillbox|162000|2021-06-16|24 мес.|https://skillbox.ru/course/profession-vr-ar-dev/
Разработка игр|Разработка игр на Unity|GeekBrains|15000|2021-06-20|3 мес.|https://gb.ru/courses/geek-school/gamedev
Разработка игр|Профессия Разработчик на Unreal Engine 4 с нуля до Middle|Skillbox|147600|2021-06-16|24 мес.|https://skillbox.ru/course/profession-ue4/
Разработка игр|Знакомство с Unity|GeekBrains|15000|2021-06-22|1 мес.|https://gb.ru/courses/248
Разработка игр|Профессия Разработчик игр на Unity|Skillbox|112320|2021-06-16|11 мес.|https://skillbox.ru/course/profession-unity/
Разработка игр|Профессия Разработчик игр на Unreal Engine 4|Skillbox|100800|2021-06-16|12 мес.|https://skillbox.ru/course/profession-unreal-engine-4/
Разработка игр|Профессия Middle-разработчик на Unreal Engine 4|Skillbox|82080|2021-06-16|26 мес.|https://skillbox.ru/course/unreal-engine-4/
